SuperFeature,HitCount,HitRatio
12808823435521701250,132045,0.138402
8149313330188026128,104930,0.109982
9569839565451611928,25981,0.0272318
16969701246683812088,18928,0.0198393
6731420339300947881,16650,0.0174516
7111668046039244438,12988,0.0136133
5565616213559113475,8821,0.00924568
7671683124000912228,8344,0.00874572
647218205223611633,8204,0.00859898
14623067236703352107,7822,0.00819859
2232820935296681922,6930,0.00726364
121095483451434935,6535,0.00684962
6798936887803360784,5731,0.00600692
16559049622854668836,5214,0.00546502
3064066196203180288,4382,0.00459297
12540457040020550406,4255,0.00445985
8642873996539809216,3752,0.00393264
15131806720306996246,3732,0.00391167
1160457089134857523,3414,0.00357837
13804256728557849801,3260,0.00341695
14270830328045003454,2873,0.00301132
7222990950795900927,2797,0.00293166
4007912589548107045,2782,0.00291594
14117698907675398097,2661,0.00278911
13680954141196389693,2574,0.00269792
1543202979783896884,2266,0.0023751
18283039661448004299,2262,0.0023709
11360475318799260258,2206,0.00231221
5424466893685807973,2101,0.00220215
4110987181505374998,1957,0.00205122
14065376447002969799,1845,0.00193383
7178672708981771360,1842,0.00193068
3568378437526261965,1842,0.00193068
14340890888665547557,1794,0.00188037
10063530378679739205,1736,0.00181958
1474049317849366589,1709,0.00179128
12026998024553198007,1705,0.00178709
14964813647052595403,1686,0.00176717
4033934163271818090,1606,0.00168332
2723685931590616636,1533,0.00160681
3129427971293947771,1504,0.00157641
561149858673241897,1493,0.00156488
5646697260275211764,1419,0.00148732
4501785883940536683,1317,0.00138041
7717622304861883285,1270,0.00133114
6771088574549632846,1259,0.00131961
3119991486422344806,1211,0.0012693
15178405988288231637,1199,0.00125673
3310405056152772527,1190,0.00124729
12099911603088265918,1161,0.0012169
14182386515466579520,1141,0.00119593
11484567905184826818,1132,0.0011865
11135511926847845494,1116,0.00116973
11306545406716198879,1109,0.00116239
8018363608295033247,1098,0.00115086
10943227696763560481,1080,0.001132
3161122802480029199,1046,0.00109636
9452033702043911926,1015,0.00106387
4338002948900033542,1008,0.00105653
6177521114014017965,990,0.00103766
9594684248853325607,970,0.0010167
1017404479992345025,942,0.000987352
9279079225523746064,909,0.000952763
17479034165896107380,896,0.000939137
5315246278816786104,851,0.000891971
11215374848236606711,832,0.000872056
15060908530463859577,812,0.000851093
6170587962588940097,809,0.000847949
4636750496418714194,804,0.000842708
10845845738806216936,801,0.000839564
13413381054714411543,785,0.000822793
17433128711518174827,784,0.000821745
670492032821439785,774,0.000811264
3766275716312326012,766,0.000802879
3157102088265085093,754,0.000790301
7224717899041763296,731,0.000766194
8823597070419896094,705,0.000738942
12803237341116951763,689,0.000722172
8721302022302894713,682,0.000714834
14055682119125515989,666,0.000698064
3713655532400053595,648,0.000679198
12721493620751769963,647,0.000678149
11874834065678317559,631,0.000661379
8584631117245467516,626,0.000656138
18248340900653983670,589,0.000617357
14534763725668184737,579,0.000606876
17237149697648658760,571,0.00059849
10056913843642842651,563,0.000590105
5636772693345321820,542,0.000568094
17103174377045094941,541,0.000567046
9252074432663271318,540,0.000565998
5459870805750223855,533,0.000558661
7326423259277834755,532,0.000557613
10544791793336184476,529,0.000554468
8050182323907002890,524,0.000549228
13834814517505466306,519,0.000543987
13007786294122380964,513,0.000537698
8065725646844521158,512,0.00053665
12146070657171199142,508,0.000532457
13941673909742605884,492,0.000515687
